2018/07/26 00:03:56 -0700 640 | 1532588636 | 25901 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 00:03:56 -0700 756 | 1532588636 | 41740 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 00:03:56 -0700 939 | 1532588636 | 4421 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 00:03:57 -0700 103 | 1532588637 | 99083 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 00:03:57 -0700 187 | 1532588637 | 65292 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 00:03:57 -0700 292 | 1532588637 | 72936 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:51 -0700 635 | 1532613111 | 51718 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:52 -0700 616 | 1532613112 | 94869 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:52 -0700 780 | 1532613112 | 81150 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:52 -0700 897 | 1532613112 | 89640 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 015 | 1532613113 | 2463 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 262 | 1532613113 | 53058 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 452 | 1532613113 | 52773 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 560 | 1532613113 | 4197 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/26 06:51:53 -0700 575 | 1532613113 | 4197 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/26 06:51:53 -0700 577 | 1532613113 | 4197 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 673 | 1532613113 | 62748 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 781 | 1532613113 | 89520 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 877 | 1532613113 | 1666 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:53 -0700 977 | 1532613113 | 8276 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:54 -0700 178 | 1532613114 | 52708 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:54 -0700 286 | 1532613114 | 16149 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 06:51:54 -0700 464 | 1532613114 | 8389 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/26 10:48:13 -0700 427 | 1532627293 | 26827 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/26 10:48:13 -0700 449 | 1532627293 | 26827 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/27 04:47:52 -0700 297 | 1532692072 | 97334 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:53 -0700 507 | 1532692073 | 57670 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:53 -0700 611 | 1532692073 | 24714 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:53 -0700 737 | 1532692073 | 18002 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:53 -0700 936 | 1532692073 | 5588 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:54 -0700 037 | 1532692074 | 87003 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:54 -0700 161 | 1532692074 | 88048 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 04:47:54 -0700 289 | 1532692074 | 68912 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/27 04:47:54 -0700 300 | 1532692074 | 68912 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
